context_num,range,batch_num,piece_count
,141-199,batch_017,10
,,batch_018,12
,,batch_019,14
,,batch_020,13
,,batch_021,10
59,1-13,batch_000,
,14-34,batch_043,
,35-74,batch_044,
,75-90,batch_045,
,91-146,batch_046,
,147-243,batch_047,
,244-280,batch_048,
,281-383,batch_049,
,384-473,batch_050,
,474-519,batch_051,
,520-529,batch_052,
,530-536,batch_053,
,537-544,batch_054,
,,batch_055,
,,batch_056,
,,batch_057,
,,batch_058,
,,batch_059,
,,batch_060,
,,batch_061,
,,batch_062,
,,batch_063,
,,batch_064,
,,batch_065,
,,batch_066,
,,batch_067,
,,batch_068,
,,batch_069,
,,batch_070,
,,batch_071,
,,batch_072,
,,batch_073,
,,batch_074,
,,batch_075,
,,batch_076,
,,batch_077,
,,batch_078,
,,batch_079,
,,batch_080,
,,batch_081,
,,batch_082,
,,batch_083,
,,batch_084,
,,batch_085,
,,batch_086,
,,batch_087,
,,batch_088,
,,batch_089,
,,batch_090,
,,batch_091,
,,batch_092,
,,batch_093,
,,batch_094,
,,batch_095,
,,batch_096,
,,batch_097,
,,batch_098,
,,batch_099,
,,batch_100,
,,batch_101,
,,batch_102,
,,batch_103,
,,batch_104,
,,batch_105,
,,batch_106,
,,batch_107,
,,batch_108,
,,batch_109,
,,batch_110,
,,batch_111,
,,batch_112,
,,batch_113,
,,batch_114,
,,batch_115,
,,batch_116,
,,batch_117,
,,batch_118,
,,batch_119,
,,batch_120,
,,batch_121,
,,batch_122,
,,batch_123,
,,batch_124,
,,batch_125,
,,batch_126,
,,batch_127,
,,batch_128,
,,batch_129,
,,batch_130,
,,batch_131,
,,batch_132,
,,batch_133,
,,batch_134,
,,batch_135,
,,batch_136,
,,batch_137,
,,batch_138,
,,batch_139,
,,batch_140,
,,batch_141,
,,batch_142,
,,batch_143,
,,batch_144,
,,batch_145,
,,batch_146,
,,batch_147,
,,batch_148,
,,batch_149,
,,batch_150,
,,batch_151,
,,batch_152,
,,batch_153,
,,batch_154,
60,1-39,batch_000,8
,,batch_001,11
,,batch_002,10
,,batch_003,11
,40-67,batch_004,6
,,batch_005,6
,,batch_006,6
,,batch_007,4
,,batch_008,7
,68-71,batch_009,1
,,batch_010,1
,,batch_011,2
,72-93,batch_012,6
,,batch_013,5
,,batch_014,6
,,batch_015,5
,94-120,batch_016,9
,,batch_017,9
,,batch_018,9
,121-133,batch_019,4
,,batch_020,4
,,batch_021,5
,134-155,batch_022,7
,,batch_023,8
,,batch_024,7
61,1-48,batch_000,13
,,batch_001,16
,,batch_002,15
,,batch_003,4
,49-62,batch_004,1
,,batch_005,5
,,batch_006,2
,,batch_007,3
,,batch_008,2
,,batch_009,1
,63-131,batch_010,6
,,batch_011,12
,,batch_012,12
,,batch_013,13
,,batch_014,6
,,batch_015,12
,,batch_016,5
,,batch_017,3
,132-165,batch_018,1
,,batch_019,9
,,batch_020,9
,,batch_021,10
,,batch_022,3
,,batch_023,2
,166-169,batch_024,1
,,batch_025,3
,170-187,batch_026,20
62,1-14,batch_000,2
,,batch_001,8
,,batch_002,4
,15-25,batch_003,11
,26-28,batch_004,3
63,1-59,batch_000,4
,,batch_001,8
,,batch_002,7
,,batch_003,8
,,batch_004,13
,,batch_005,9
,,batch_006,2
,,batch_007,2
,,batch_008,7
,60-118,batch_009,10
,,batch_010,13
,,batch_011,15
,,batch_012,16
,,batch_013,5
,119-128,batch_014,5
,,batch_015,2
,,batch_016,2
,,batch_017,1
,129-134,batch_018,5
,,batch_019,1
,135-144,batch_020,7
,,batch_021,2
,,batch_022,1
,145-162,batch_023,15
,,batch_024,3
64,1-7,batch_000,7
65,1-45,batch_000,10
,,batch_001,6
,,batch_002,8
,,batch_003,9
,,batch_004,7
,,batch_005,5
,46-161,batch_006,
,,batch_007,
,,batch_008,
,,batch_009,
,,batch_010,
,,batch_011,
,,batch_012,
,,batch_013,
,,batch_014,
,,batch_015,
,,batch_016,
,,batch_017,
,,batch_018,
,,batch_019,
,,batch_020,
,,batch_021,
,,batch_022,
,,batch_023,
,,batch_024,
,,batch_025,
,,batch_026,
,,batch_027,
,,batch_028,
,,batch_029,
,,batch_030,
,,batch_031,
,,batch_032,
,,batch_033,
,,batch_034,
,,batch_035,
,,batch_036,
,,batch_037,
,,batch_038,
,,batch_039,
,,batch_040,
,,batch_041,
,,batch_042,
66,1-47,batch_000,7
,,batch_001,7
,,batch_002,10
,,batch_003,10
,,batch_004,8
,,batch_005,6
,48-76,batch_006,5
,,batch_007,3
,,batch_008,11
,,batch_009,3
,,batch_010,7
,77-184,batch_011,4
,,batch_012,11
,,batch_013,13
,,batch_014,13
,,batch_015,15
,,batch_016,17
,,batch_017,14
,,batch_018,13
,,batch_019,8
67,1-32,batch_000,4
,,batch_001,4
,,batch_002,5
,,batch_003,5
,,batch_004,6
,,batch_005,3
,,batch_006,5
,33-55,batch_007,9
,,batch_008,5
,,batch_009,9
,56-68,batch_010,5
,,batch_011,3
,,batch_012,5
,69-80,batch_013,12
68,1-22,batch_000,12
,,batch_001,10
,22-55,batch_002,14
,,batch_003,13
,,batch_004,7
69,1-14,batch_000,4
,,batch_001,10
70,1-15,batch_000,5
,,batch_001,6
,,batch_002,3
,,batch_003,1
71,1-25,batch_000,10
,,batch_001,16
